03;1;B
02;2;A
20;3;S
09;4;H
28;5;_
11;6;J
06;7;E
28;8;_
22;9;U
27;10;Z
10;11;I
23;12;V
02;13;A
21;14;T
06;15;E
13;16;L
20;17;S
12;18;K
26;19;Y
28;20;_
17;21;P
19;22;R
10;23;I
23;24;V
06;25;E
21;26;T
10;27;I
23;28;V
26;29;Y
01;30;.
28;31;_
11;32;J
06;33;E
15;34;N
28;35;_
11;36;J
06;37;E
28;38;_
23;39;V
06;40;E
13;41;L
14;42;M
10;43;I
28;44;_
23;45;V
26;46;Y
03;47;B
10;48;I
19;49;R
02;50;A
23;51;V
26;52;Y
28;53;_
23;54;V
28;55;_
21;56;T
16;57;O
14;58;M
00;59;,
28;60;_
12;61;K
05;62;D
16;63;O
28;64;_
11;65;J
20;66;S
16;67;O
22;68;U
28;69;_
11;70;J
06;71;E
09;72;H
16;73;O
28;74;_
17;75;P
19;76;R
02;77;A
21;78;T
06;79;E
13;80;L
06;81;E
01;82;.
